"row_id","area__rucc","area__urban_influence","econ__economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_hispanic","demo__pct_non_hispanic_african_american","demo__pct_non_hispanic_white","demo__pct_american_indian_or_alaskan_native","demo__pct_asian","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","heart_disease_mortality_per_100k","population","metro","p_diab_obese","p_diab_smoke","p_obese_smoke","p_all_three"
0,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents","Manufacturing-dependent",0.408,0.057,0.254,0.066,0.516,0.235,0.176,0.109,0.039,0.829,0.004,0.011,0.194223107569721,0.424302788844622,0.227091633466135,0.154382470119522,12,12,0.297,0.23,0.131,0.089,NA,0.332,13,2.8,15.09,1650,1489,"a",312,"20-250k","Metro",0.038907,0.03013,0.06831,0.02028807
1,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents","Mining-dependent",0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.41,0.07,0.493,0.008,0.015,0.164133738601824,0.234042553191489,0.342451874366768,0.259371833839919,19,7,0.288,0.19,0.09,0.082,0.181,0.265,10,2.3,19.79,2010,2480,"a",257,"20-250k","Metro",0.02592,0.0171,0.05472,0.01575936
4,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more","Nonspecialized",0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.202,0.198,0.479,0.013,0.085,0.158572844400396,0.237859266600595,0.186323092170466,0.417244796828543,12,6,0.212,0.156,0.084,0.098,0.195,0.209,10,9.31,3.14,629,690,"b",195,"1M+","Metro",0.017808,0.013104,0.033072,0.007011264
5,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Nonspecialized",0.5,0.061,0.203,0.059,0.525,0.2,0.164,0.013,0.049,0.897,0.007,0.001,0.181636726546906,0.407185628742515,0.248502994011976,0.162674650698603,11,12,0.285,NA,0.104,0.058,NA,0.238,13,NA,NA,1810,6630,"b",218,"2.5-20k","Non-Metro",0.02964,NA,NA,NA
6,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents","Nonspecialized",0.471,0.05,0.225,0.103,0.511,0.237,0.171,0.025,0.008,0.953,0.003,0,0.122367101303912,0.413239719157472,0.306920762286861,0.157472417251755,14,12,0.284,0.234,0.137,0.07,0.194,0.29,9,NA,29.39,3489,2590,"a",355,"2.5-20k","Non-Metro",0.038908,0.032058,0.066456,0.018873504
8,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area","Federal/State government-dependent",0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022,0.046,0.903,0.002,0.006,0.137755102040816,0.294897959183673,0.280612244897959,0.286734693877551,11,8,0.283,0.22,0.112,0.089,0.067,0.272,13,3.8,13.74,2439,1540,"a",288,"20-250k","Non-Metro",0.031696,0.02464,0.06226,0.01761958
10,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a large metro area","Nonspecialized",0.462,0.088,0.18,0.039,0.507,0.221,0.167,0.034,0.002,0.942,0.004,0,0.109879032258065,0.425403225806452,0.326612903225806,0.138104838709677,10,10,0.305,0.205,0.11,0.07,0.193,0.282,12,NA,18.55,3100,3689,"b",283,"2.5-20k","Non-Metro",0.03355,0.02255,0.062525,0.019070125
11,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Manufacturing-dependent",0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.224,0.681,0.004,0.023,0.122860020140987,0.315206445115811,0.364551863041289,0.197381671701913,12,10,0.317,0.264,0.131,0.092,0.13,0.277,13,5.6,22.27,2800,1790,"a",315,"250k-1M","Metro",0.041527,0.034584,0.083688,0.026529096
14,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Nonspecialized",0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.719,0.257,0.008,0.005,0.292134831460674,0.278855975485189,0.287027579162411,0.141981613891726,12,10,0.417,0.208,0.127,0.139,0.106,0.373,12,13.6,22.78,3990,3549,"a",426,"2.5-20k","Non-Metro",0.052959,0.026416,0.086736,0.036168912
15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents","Farm-dependent",0.371,0.044,0.241,0.11,0.489,0.347,0.121,0.014,0,0.426,0.546,0.004,0.153694581280788,0.323152709359606,0.374384236453202,0.148768472906404,21,10,0.332,0.341,0.101,0.073,0.214,0.333,9,NA,63.15,NA,NA,"a",309,"under 2.5k","Non-Metro",0.033532,0.034441,0.113212,0.037586384
